game_id,season,week,team,def_value_pre,def_value_post
1999_01_ARI_PHI,1999,1,ARI,0.0,0.635
1999_02_ARI_MIA,1999,2,ARI,0.635,0.221
1999_03_SF_ARI,1999,3,ARI,0.221,0.296
1999_04_ARI_DAL,1999,4,ARI,0.296,-1.711
1999_05_NYG_ARI,1999,5,ARI,-1.711,-1.54
1999_06_WAS_ARI,1999,6,ARI,-1.54,-1.534
1999_08_NE_ARI,1999,8,ARI,-1.534,-2.741
1999_09_ARI_NYJ,1999,9,ARI,-2.741,-3.738
1999_10_DET_ARI,1999,10,ARI,-3.738,-5.618
1999_11_DAL_ARI,1999,11,ARI,-5.618,-5.612
1999_12_ARI_NYG,1999,12,ARI,-5.612,-5.303
1999_13_PHI_ARI,1999,13,ARI,-5.303,-6.829
1999_14_ARI_WAS,1999,14,ARI,-6.829,-5.852
1999_15_BUF_ARI,1999,15,ARI,-5.852,-6.171
1999_16_ARI_ATL,1999,16,ARI,-6.171,-8.503
1999_17_ARI_GB,1999,17,ARI,-8.503,-9.991
2000_01_ARI_NYG,2000,1,ARI,-6.404,-5.973
2000_02_DAL_ARI,2000,2,ARI,-5.973,-8.596
2000_04_GB_ARI,2000,4,ARI,-8.596,-10.183
2000_05_ARI_SF,2000,5,ARI,-10.183,-10.741
2000_06_CLE_ARI,2000,6,ARI,-10.741,-10.785
2000_07_PHI_ARI,2000,7,ARI,-10.785,-12.142
2000_08_ARI_DAL,2000,8,ARI,-12.142,-12.893
2000_09_NO_ARI,2000,9,ARI,-12.893,-12.061
2000_10_WAS_ARI,2000,10,ARI,-12.061,-10.213
2000_11_ARI_MIN,2000,11,ARI,-10.213,-13.426
2000_12_ARI_PHI,2000,12,ARI,-13.426,-14.211
2000_13_NYG_ARI,2000,13,ARI,-14.211,-14.734
2000_14_ARI_CIN,2000,14,ARI,-14.734,-14.196
2000_15_ARI_JAX,2000,15,ARI,-14.196,-15.885
2000_16_BAL_ARI,2000,16,ARI,-15.885,-13.309
2000_17_ARI_WAS,2000,17,ARI,-13.309,-12.134
2001_02_DEN_ARI,2001,2,ARI,-7.778,-8.862
2001_03_ATL_ARI,2001,3,ARI,-8.862,-11.168
2001_04_ARI_PHI,2001,4,ARI,-11.168,-12.031
2001_05_ARI_CHI,2001,5,ARI,-12.031,-10.871
2001_06_KC_ARI,2001,6,ARI,-10.871,-10.904
2001_07_ARI_DAL,2001,7,ARI,-10.904,-10.139
2001_08_PHI_ARI,2001,8,ARI,-10.139,-10.239
2001_09_NYG_ARI,2001,9,ARI,-10.239,-9.124
2001_10_DET_ARI,2001,10,ARI,-9.124,-10.462
2001_11_ARI_LAC,2001,11,ARI,-10.462,-13.376
2001_12_ARI_OAK,2001,12,ARI,-13.376,-13.899
2001_13_WAS_ARI,2001,13,ARI,-13.899,-14.831
2001_14_ARI_NYG,2001,14,ARI,-14.831,-14.676
2001_15_DAL_ARI,2001,15,ARI,-14.676,-14.243
2001_16_ARI_CAR,2001,16,ARI,-14.243,-14.661
2001_17_ARI_WAS,2001,17,ARI,-14.661,-14.295
2002_01_ARI_WAS,2002,1,ARI,-9.163,-11.368
2002_02_ARI_SEA,2002,2,ARI,-11.368,-12.938
2002_03_LAC_ARI,2002,3,ARI,-12.938,-12.413
2002_04_NYG_ARI,2002,4,ARI,-12.413,-10.742
2002_05_ARI_CAR,2002,5,ARI,-10.742,-10.149
2002_07_DAL_ARI,2002,7,ARI,-10.149,-8.236
2002_08_ARI_SF,2002,8,ARI,-8.236,-9.611
2002_09_LAR_ARI,2002,9,ARI,-9.611,-9.68
2002_10_SEA_ARI,2002,10,ARI,-9.68,-11.23
2002_11_ARI_PHI,2002,11,ARI,-11.23,-12.445
2002_12_OAK_ARI,2002,12,ARI,-12.445,-12.361
2002_13_ARI_KC,2002,13,ARI,-12.361,-13.051
2002_14_DET_ARI,2002,14,ARI,-13.051,-12.982
2002_15_ARI_LAR,2002,15,ARI,-12.982,-13.636
2002_16_SF_ARI,2002,16,ARI,-13.636,-12.482
2002_17_ARI_DEN,2002,17,ARI,-12.482,-13.332
2003_01_ARI_DET,2003,1,ARI,-8.546,-11.14
2003_02_SEA_ARI,2003,2,ARI,-11.14,-11.354
2003_03_GB_ARI,2003,3,ARI,-11.354,-12.086
2003_04_ARI_LAR,2003,4,ARI,-12.086,-14.038
2003_05_ARI_DAL,2003,5,ARI,-14.038,-15.084
2003_06_BAL_ARI,2003,6,ARI,-15.084,-14.247
2003_08_SF_ARI,2003,8,ARI,-14.247,-13.907
2003_09_CIN_ARI,2003,9,ARI,-13.907,-12.384
2003_10_ARI_PIT,2003,10,ARI,-12.384,-12.91
2003_11_ARI_CLE,2003,11,ARI,-12.91,-16.963
2003_12_LAR_ARI,2003,12,ARI,-16.963,-15.012
2003_13_ARI_CHI,2003,13,ARI,-15.012,-16.571
2003_14_ARI_SF,2003,14,ARI,-16.571,-20.13
2003_15_CAR_ARI,2003,15,ARI,-20.13,-19.957
2003_16_ARI_SEA,2003,16,ARI,-19.957,-18.513
2003_17_MIN_ARI,2003,17,ARI,-18.513,-17.199
2004_01_ARI_LAR,2004,1,ARI,-11.025,-12.536
2004_02_NE_ARI,2004,2,ARI,-12.536,-11.114
2004_03_ARI_ATL,2004,3,ARI,-11.114,-9.637
2004_04_NO_ARI,2004,4,ARI,-9.637,-8.997
2004_05_ARI_SF,2004,5,ARI,-8.997,-10.957
2004_07_SEA_ARI,2004,7,ARI,-10.957,-7.405
2004_08_ARI_BUF,2004,8,ARI,-7.405,-8.048
2004_09_ARI_MIA,2004,9,ARI,-8.048,-8.062
2004_10_NYG_ARI,2004,10,ARI,-8.062,-7.244
2004_11_ARI_CAR,2004,11,ARI,-7.244,-6.81
2004_12_NYJ_ARI,2004,12,ARI,-6.81,-7.362
2004_13_ARI_DET,2004,13,ARI,-7.362,-7.763
